OID_,CID,name,POINT_X,POINT_Y
309,52,sch1261,-68.03221799,44.334968657000047
310,52,sch1268,-68.03248783,44.335099162000063
311,52,sch1109,-68.03261001,44.335160483000038
312,52,sch1235,-68.03278592,44.335202327000047
313,52,sch760,-68.0321329,44.336357000000078
314,52,sch863,-68.03384478,44.333458518000043
315,52,sch1074,-68.03359419,44.333365529000048
316,52,sch943,-68.03310875,44.333576434000065
317,52,sch749,-68.03278212,44.333596588000034
318,52,sch980,-68.03265755,44.333640551000030
319,52,sch1009,-68.03251902,44.333661285000062
320,52,sch1308,-68.03216276,44.333714377000035
321,52,sch1001,-68.03182802,44.333704553000075
322,52,sch1055,-68.03151418,44.333856566000065
323,52,sch1122,-68.03119861,44.334022399000048
324,52,sch935,-68.03147764,44.334023934000072
325,52,sch1314,-68.03171097,44.334350486000062
326,52,sch1297,-68.03143461,44.334363152000037
327,52,sch1039,-68.03108223,44.334692236000080
328,52,sch1120,-68.03121807,44.334799700000076
329,52,sch1146,-68.03131866,44.334855170000026
330,52,sch1155,-68.03166886,44.334802560000071
331,52,sch762,-68.03186467,44.335007408000081
332,52,sch1261,-68.03221799,44.334968657000047
333,52,sch1268,-68.03248783,44.335099162000063
334,52,sch1109,-68.03261001,44.335160483000038
335,52,sch1235,-68.03278592,44.335202327000047
336,52,sch963,-68.03198136,44.336164788000076
337,52,sch760,-68.0321329,44.336357000000078
338,52,sch863,-68.03384478,44.333458518000043
339,52,sch1074,-68.03359419,44.333365529000048
340,52,sch943,-68.03310875,44.333576434000065
341,52,sch749,-68.03278212,44.333596588000034
342,52,sch980,-68.03265755,44.333640551000030
343,52,sch1009,-68.03251902,44.333661285000062
344,52,sch1308,-68.03216276,44.333714377000035
345,52,sch1001,-68.03182802,44.333704553000075
346,52,sch1055,-68.03151418,44.333856566000065
347,52,sch1122,-68.03119861,44.334022399000048
348,52,sch935,-68.03147764,44.334023934000072
349,52,sch1314,-68.03171097,44.334350486000062
350,52,sch1297,-68.03143461,44.334363152000037
351,52,sch1039,-68.03108223,44.334692236000080
352,52,sch1120,-68.03121807,44.334799700000076
353,52,sch1146,-68.03131866,44.334855170000026
354,52,sch1155,-68.03166886,44.334802560000071
355,52,sch762,-68.03186467,44.335007408000081
356,52,sch1261,-68.03221799,44.334968657000047
357,52,sch1268,-68.03248783,44.335099162000063
358,52,sch1109,-68.03261001,44.335160483000038
359,52,sch1235,-68.03278592,44.335202327000047
